sample_id
CGA009
CGA010
CGA021
CGA022
CGA033
CGA034
CGA045
CGA046
CGA057
CGA058
CGA070
CGA072
CGA073
CGA074
CGA079
CGA080
CGA083
CGA084
CGA085
CGA086
CGA091
CGA092
CGA095
CGA096
CGA097
CGA098
CGA107
CGA108
CGA109
CGA119
CGA120
CGA121
CGA122
CGA131
CGA141
CGA143
CGA153
CGA154
CGA155
CGA162
CGA163
CGA164
CGA165
CGA166
CGA167
CGA174
CGA175
CGA176
CGA177
CGA178
CGA179
CGA186
CGA187
CGA188
CGA189
CGA190
CGA191
CGA199
CGA200
CGA201
CGA202
CGA203
CGA210
CGA211
CGA212
CGA213
CGA214
CGA215
CGA222
CGA223
CGA224
CGA225
CGA226
CGA227
CGA228
CGA229
CGA230
CGA231
CGA232
CGA233
CGA234
CGA235
CGA236
CGA237
CGA238
CGA239
CGA240
CGA241
CGA242
CGA243
CGA244
CGA245
CGA247
CGA248
CGA249
CGA250
CGA251
CGA252
CGA253
CGA254
CGA255
CGA256
CGA257
CGA259
CGA260
CGA261
CGA262
CGA263
CGA264
CGA265
CGA266
CGA267
CGA268
CGA269
CGA272
CGA273
CGA274
CGA275
CGA276
CGA277
CGA278
CGA279
CGA280
CGA281
CGA283
CGA284
CGA285
CGA286
CGA287
CGA288
CGA289
CGA290
CGA291
CGA292
CGA293
CGA294
CGA295
CGA296
CGA297
CGA298
CGA299
CGA302
CGA303
CGA304
CGA305
CGA306
CGA307
CGA308
CGA309
CGA310
CGA311
CGA312
CGA313
CGA314
CGA315
CGA316
CGA317
CGA318
CGA319
CGA320
CGA321
CGA322
CGA323
CGA324
CGA325
CGA326
CGA327
CGA328
CGA329
CGA331
CGA332
CGA333
CGA334
CGA335
CGA336
CGA337
CGA338
CGA339
CGA340
CGA341
CGA342
CGA343
CGA344
CGA345
CGA346
CGA347
CGA348
CGA349
CGA350
CGA351
CGA353
CGA354
CGA355
CGA356
CGA357
CGA358
CGA359
CGA362
CGA371
CGA373
CGA374
CGA383
CGA385
CGA386
CGA395
CGA397
CGA398
CGA407
CGA409
CGA410
CGA419
CGA421
CGA422
CGA431
CGA434
CGA436
CGA437
CGA443
CGA445
CGA446
CGA448
CGA449
CGA457
CGA460
CGA461
CGA69
